# of Objects	Object	Ore	Ingot	Nugget	Compressed Block	Catalyst	Deprecated 1	Deprecated 2	Compound Small	Compound Medium	Compound Large	Compound Industrial	Compound Small(2)	Compound Medium(2)	Compound Large(2)	Compound Industrial(2)	Element Small	Element Medium	Element Large	Element Industrial	Bag (Pellets)	Sack (Pellets)	Powder Keg (Pellets)	Chemical Silo (Pellets)	Polymer Block	Polymer Slab	Polymer Stairs	Brick	Mold	Molded Item	Mask	Wafer	Electronics	DNA Sampler	Cell Culture Dish	Polycraft Headgear	Polycraft Chest	Polycraft Leggings	Polycraft Feet	Polycraft Hoe	Polycraft Spade	Polycraft Pickaxe	Polycraft Axe	Polycraft Sword	Inventory	Gripped Tool	Pogo Stick	Custom Object	Internal Object	Minecraft Item	Minecraft Block
4592	Object	Magnesium Ore	Magnesium Ingot	Magnesium Nugget	Block of Magnesium	Platinum Catalyst	Bag (PolyIsoPrene Pellets)	Vial (Crude Oil)	Flask (1,1,1,2-Tetrafluoroethane)	Cartridge (1,1,1,2-Tetrafluoroethane)	Canister (1,1,1,2-Tetrafluoroethane)	Chemical Tank (1,1,1,2-Tetrafluoroethane)	Vial (Antifreeze)	Beaker (Antifreeze)	Drum (Antifreeze)	Chemical Vat (Antifreeze)	Flask (Hydrogen)	Cartridge (Hydrogen)	Canister (Hydrogen)	Chemical Tank (Hydrogen)	Vial (Acrylic-Formaldehyde Resin)	Beaker (Acrylic-Formaldehyde Resin)	Drum (Acrylic-Formaldehyde Resin)	Chemical Vat (Acrylic-Formaldehyde Resin)	Block (AF Resin)	Slab (AF Resin)	Stairs (AF Resin)	ABS Brick (1 x 1)	Mold (Grip)	Grip (Natural Rubber)	Mask (Solar Cell)(PR Backplane)	Silicon Wafer	Solar Cell	DNA Sampler (Pig)	Cell Culture Dish (Pig)	Rubber Shower Cap	Rubber Shirt	Rubber Wading Pants	Rubber Booties	Composite Steel Hoe	Composite Steel Spade	Composite Steel Pickaxe	Composite Steel Axe	Composite Steel Sword	Tree Tap	Gripped Iron Shovel	Wooden Pogo Stick	Metal Screw	Oil	Iron Shovel	Air
		0	0		0	0	Bag (PolyPropylene Glycol Pellets)	Drum (Gin)	Vial (Calcium Sulfate Dihydrate)	Beaker (Calcium Sulfate Dihydrate)	Drum (Calcium Sulfate Dihydrate)	Chemical Vat (Calcium Sulfate Dihydrate)	0	0	0	0	Bag (Francium)	Sack (Francium)	Powder Keg (Francium)	Chemical Silo (Francium)	Bag (PolyTert-Butyl Acrylate Pellets)	Sack (PolyTert-Butyl Acrylate Pellets)	Powder Keg (PolyTert-Butyl Acrylate Pellets)	Chemical Silo (PolyTert-Butyl Acrylate Pellets)	Block (PTBA)	Slab (PTBA)	Stairs (PTBA)	0	0	Fibers (PMA)	0	0	0			 									0	'[2]Gripped Tools'!#REF!	0	Password Door		Chest Minecart	Pumpkin
		0	0		0	0	Bag (PolyPropylene Oxide Pellets)	Vial (Tequila)	Vial (Calcium Sulfate, Hemihydrate)	Beaker (Calcium Sulfate, Hemihydrate)	Drum (Calcium Sulfate, Hemihydrate)	Chemical Vat (Calcium Sulfate, Hemihydrate)	0	0	0	0	Bag (Radium)	Sack (Radium)	Powder Keg (Radium)	Chemical Silo (Radium)	Bag (PolyTetraFluoroEthylene Pellets)	Sack (PolyTetraFluoroEthylene Pellets)	Powder Keg (PolyTetraFluoroEthylene Pellets)	Chemical Silo (PolyTetraFluoroEthylene Pellets)	Block (PTFE)	Slab (PTFE)	Stairs (PTFE)	0	0	Fibers (PMCA)	0	0	0			 									0	'[2]Gripped Tools'!#REF!	0	Dev Tool		Furnace Minecart	Netherrack
		0	0		0	0	Bag (PolyStyrene Pellets)	Beaker (Tequila)	Vial (Camphor)	Beaker (Camphor)	Drum (Camphor)	Chemical Vat (Camphor)	0	0	0	0	Bag (Actinium)	Sack (Actinium)	Powder Keg (Actinium)	Chemical Silo (Actinium)	Bag (PolyTetramethylene Ether Glycol Pellets)	Sack (PolyTetramethylene Ether Glycol Pellets)	Powder Keg (PolyTetramethylene Ether Glycol Pellets)	Chemical Silo (PolyTetramethylene Ether Glycol Pellets)	Block (PTMEG)	Slab (PTMEG)	Stairs (PTMEG)	0	0	Fibers (PMMA)	0	0	0			 									0	'[2]Gripped Tools'!#REF!	0	Challenge Block		Egg	Soul Sand
		0	0		0	0	Bag (PolyTert-Butyl Acrylate Pellets)	Drum (Tequila)	Vial (Caprolactone)	Beaker (Caprolactone)	Drum (Caprolactone)	Chemical Vat (Caprolactone)	0	0	0	0	Bag (Thorium)	Sack (Thorium)	Powder Keg (Thorium)	Chemical Silo (Thorium)	Bag (PolyTetramethylene Glycol Pellets)	Sack (PolyTetramethylene Glycol Pellets)	Powder Keg (PolyTetramethylene Glycol Pellets)	Chemical Silo (PolyTetramethylene Glycol Pellets)	Block (PTMG)	Slab (PTMG)	Stairs (PTMG)	0	0	Fibers (PMMS)	0	0	0			 									0	'[2]Gripped Tools'!#REF!	0	Constitution Claim		Compass	Glowstone
		0	0		0	0	Bag (PolyTetraFluoroEthylene Pellets)	Vial (Rum)	Vial (Caprolactam)	Beaker (Caprolactam)	Drum (Caprolactam)	Chemical Vat (Caprolactam)	0	0	0	0	Bag (Protactinium)	Sack (Protactinium)	Powder Keg (Protactinium)	Chemical Silo (Protactinium)	Bag (PolyThiazyl Pellets)	Sack (PolyThiazyl Pellets)	Powder Keg (PolyThiazyl Pellets)	Chemical Silo (PolyThiazyl Pellets)	Block (PTA)	Slab (PTA)	Stairs (PTA)	0	0	Fibers (nomex)	0	0	0			 									0	'[2]Gripped Tools'!#REF!	0	Indelible Ink		Fishing Rod	Portal
		0	0		0	0	Bag (PolyTetramethylene Ether Glycol Pellets)	Beaker (Rum)	Flask (Carbon Dioxide)	Cartridge (Carbon Dioxide)	Canister (Carbon Dioxide)	Chemical Tank (Carbon Dioxide)	0	0	0	0	Bag (Uranium)	Sack (Uranium)	Powder Keg (Uranium)	Chemical Silo (Uranium)	Bag (PolyTrimethylene Terephthalate Pellets)	Sack (PolyTrimethylene Terephthalate Pellets)	Powder Keg (PolyTrimethylene Terephthalate Pellets)	Chemical Silo (PolyTrimethylene Terephthalate Pellets)	Block (PTT)	Slab (PTT)	Stairs (PTT)	0	0	Fibers (PNBA)	0	0	0			 									0	'[2]Gripped Tools'!#REF!	0	Poly Portal		Clock	Lit Pumpkin
		0	0		0	0	Bag (PolyTetramethylene Glycol Pellets)	Drum (Rum)	Flask (Carbon Monoxide)	Cartridge (Carbon Monoxide)	Canister (Carbon Monoxide)	Chemical Tank (Carbon Monoxide)	0	0	0	0	Bag (Neptunium)	Sack (Neptunium)	Powder Keg (Neptunium)	Chemical Silo (Neptunium)	Bag (PolyUrethane Pellets)	Sack (PolyUrethane Pellets)	Powder Keg (PolyUrethane Pellets)	Chemical Silo (PolyUrethane Pellets)	Block (PU)	Slab (PU)	Stairs (PU)	0	0	Fibers (POM)	0	0	0			 									0	'[2]Gripped Tools'!#REF!	0	Knockback Bomb		Glowstone Dust	Cake
		0	0		0	0	Bag (PolyThiazyl Pellets)	Vial (Whiskey)	Vial (Carbonic Acid)	Beaker (Carbonic Acid)	Drum (Carbonic Acid)	Chemical Vat (Carbonic Acid)	0	0	0	0	Bag (Plutonium)	Sack (Plutonium)	Powder Keg (Plutonium)	Chemical Silo (Plutonium)	Bag (PolyVinyl Acetate Pellets)	Sack (PolyVinyl Acetate Pellets)	Powder Keg (PolyVinyl Acetate Pellets)	Chemical Silo (PolyVinyl Acetate Pellets)	Block (PVAC)	Slab (PVAC)	Stairs (PVAC)	0	0	Fibers (PPHD)	0	0	0			 									0	'[2]Gripped Tools'!#REF!	0	Freezing Knockback Bomb		Fish	Unpowered Repeater
		0	0		0	0	Bag (PolyTrimethylene Terephthalate Pellets)	Beaker (Whiskey)	Vial (Carboxylates)	Beaker (Carboxylates)	Drum (Carboxylates)	Chemical Vat (Carboxylates)	0	0	0	0	Bag (Americium)	Sack (Americium)	Powder Keg (Americium)	Chemical Silo (Americium)	Bag (PolyVinyl Alcohol Pellets)	Sack (PolyVinyl Alcohol Pellets)	Powder Keg (PolyVinyl Alcohol Pellets)	Chemical Silo (PolyVinyl Alcohol Pellets)	Block (PVA)	Slab (PVA)	Stairs (PVA)	0	0	Fibers (Polyphenol)	0	0	0			 									0	'[2]Gripped Tools'!#REF!	0	Cleats		Cooked Fish	Powered Repeater
		0	0		0	0	Bag (PolyUrethane Pellets)	Drum (Whiskey)	Vial (Carrageenan)	Beaker (Carrageenan)	Drum (Carrageenan)	Chemical Vat (Carrageenan)	0	0	0	0	Bag (Curium)	Sack (Curium)	Powder Keg (Curium)	Chemical Silo (Curium)	Bag (PolyVinyl Butyral Pellets)	Sack (PolyVinyl Butyral Pellets)	Powder Keg (PolyVinyl Butyral Pellets)	Chemical Silo (PolyVinyl Butyral Pellets)	Block (PVB)	Slab (PVB)	Stairs (PVB)	0	0	Fibers (PPO)	0	0	0			 									0	'[2]Gripped Tools'!#REF!	0	IronCannonBall		Dye	Stained Glass
		0	0		0	0	Bag (PolyVinyl Acetate Pellets)	Vial (Carrot Wine)	Vial (Carrot Wine)	Beaker (Carrot Wine)	Drum (Carrot Wine)	Chemical Vat (Carrot Wine)	0	0	0	0	Bag (Berkelium)	Sack (Berkelium)	Powder Keg (Berkelium)	Chemical Silo (Berkelium)	Bag (PolyVinyl Chloride Pellets)	Sack (PolyVinyl Chloride Pellets)	Powder Keg (PolyVinyl Chloride Pellets)	Chemical Silo (PolyVinyl Chloride Pellets)	Block (PVC)	Slab (PVC)	Stairs (PVC)	0	0	Fibers (PPPHAZ)	0	0	0			 									0	'[2]Gripped Tools'!#REF!	0	Mining Hammer		Bone	Trapdoor
		0	0		0	0	Bag (PolyVinyl Alcohol Pellets)	Beaker (Carrot Wine)	Vial (Cellulose)	Beaker (Cellulose)	Drum (Cellulose)	Chemical Vat (Cellulose)	0	0	0	0	Bag (Californium)	Sack (Californium)	Powder Keg (Californium)	Chemical Silo (Californium)	Bag (PolyVinyl Chloride Acetate Pellets)	Sack (PolyVinyl Chloride Acetate Pellets)	Powder Keg (PolyVinyl Chloride Acetate Pellets)	Chemical Silo (PolyVinyl Chloride Acetate Pellets)	Block (PVCA)	Slab (PVCA)	Stairs (PVCA)	0	0	Fibers (PPMS)	0	0	0			 									0	'[2]Gripped Tools'!#REF!	0	HPBlock		Sugar	Monster Egg
		0	0		0	0	Bag (PolyVinyl Butyral Pellets)	Drum (Carrot Wine)	Vial (Cellulose Acetate)	Beaker (Cellulose Acetate)	Drum (Cellulose Acetate)	Chemical Vat (Cellulose Acetate)	0	0	0	0	Bag (Einsteinium)	Sack (Einsteinium)	Powder Keg (Einsteinium)	Chemical Silo (Einsteinium)	Bag (PolyVinyl Fluoride Pellets)	Sack (PolyVinyl Fluoride Pellets)	Powder Keg (PolyVinyl Fluoride Pellets)	Chemical Silo (PolyVinyl Fluoride Pellets)	Block (PVF)	Slab (PVF)	Stairs (PVF)	0	0	Fibers (PPS)	0	0	0			 									0	'[2]Gripped Tools'!#REF!	0	Place Block		Cake	Stonebrick
		0	0		0	0	Bag (PolyVinyl Chloride Pellets)	Flask (Propylene)	Vial (Cellulose Nitrate)	Beaker (Cellulose Nitrate)	Drum (Cellulose Nitrate)	Chemical Vat (Cellulose Nitrate)	0	0	0	0	Bag (Fermium)	Sack (Fermium)	Powder Keg (Fermium)	Chemical Silo (Fermium)	Bag (PolyVinyl Formal Pellets)	Sack (PolyVinyl Formal Pellets)	Powder Keg (PolyVinyl Formal Pellets)	Chemical Silo (PolyVinyl Formal Pellets)	Block (PVFO)	Slab (PVFO)	Stairs (PVFO)	0	0	Fibers (kevlar)	0	0	0			 									0	'[2]Gripped Tools'!#REF!	0	Break Block		Bed	Brown Mushroom Block
		0	0		0	0	Bag (PolyVinyl Chloride Acetate Pellets)	Cartridge (Propylene)	Vial (Chromium Oxide)	Beaker (Chromium Oxide)	Drum (Chromium Oxide)	Chemical Vat (Chromium Oxide)	0	0	0	0	Bag (Mendelevium)	Sack (Mendelevium)	Powder Keg (Mendelevium)	Chemical Silo (Mendelevium)	Bag (PolyVinyl Methyl Ether Pellets)	Sack (PolyVinyl Methyl Ether Pellets)	Powder Keg (PolyVinyl Methyl Ether Pellets)	Chemical Silo (PolyVinyl Methyl Ether Pellets)	Block (PVME)	Slab (PVME)	Stairs (PVME)	0	0	Fibers (PP)	0	0	0			 									0	'[2]Gripped Tools'!#REF!	0	GravelCannonBall		Repeater	Red Mushroom Block
		0	0		0	0	Bag (PolyVinyl Fluoride Pellets)	Canister (Propylene)	Vial (Citric Acid)	Beaker (Citric Acid)	Drum (Citric Acid)	Chemical Vat (Citric Acid)	0	0	0	0	Bag (Nobelium)	Sack (Nobelium)	Powder Keg (Nobelium)	Chemical Silo (Nobelium)	Bag (PolyVinylidene Dichloride Pellets)	Sack (PolyVinylidene Dichloride Pellets)	Powder Keg (PolyVinylidene Dichloride Pellets)	Chemical Silo (PolyVinylidene Dichloride Pellets)	Block (PVDC)	Slab (PVDC)	Stairs (PVDC)	0	0	Fibers (PPG)	0	0	0			 									0	'[2]Gripped Tools'!#REF!	0	Paintpellet		Cookie	Iron Bars
		0	0		0	0	Bag (PolyVinyl Formal Pellets)	Flask (Ethylene)	Bag (Cobalt-Manganese-Bromide)	Sack (Cobalt-Manganese-Bromide)	Powder Keg (Cobalt-Manganese-Bromide)	Chemical Silo (Cobalt-Manganese-Bromide)	0	0	0	0	Bag (Lawrencium)	Sack (Lawrencium)	Powder Keg (Lawrencium)	Chemical Silo (Lawrencium)	Bag (PolyVinylidene Fluoride Pellets)	Sack (PolyVinylidene Fluoride Pellets)	Powder Keg (PolyVinylidene Fluoride Pellets)	Chemical Silo (PolyVinylidene Fluoride Pellets)	Block (PVDF)	Slab (PVDF)	Stairs (PVDF)	0	0	Fibers (PPOX)	0	0	0			 									0	'[2]Gripped Tools'!#REF!	0	Wood Slingshot		Filled Map	Glass Pane
		0	0		0	0	Bag (PolyVinyl Methyl Ether Pellets)	Cartridge (Ethylene)	Vial (Coke)	Beaker (Coke)	Drum (Coke)	Chemical Vat (Coke)	0	0	0	0	Bag (Rutherfordium)	Sack (Rutherfordium)	Powder Keg (Rutherfordium)	Chemical Silo (Rutherfordium)	Bag (PolyVinylidene Fluoride-Trifluoroethylene Pellets)	Sack (PolyVinylidene Fluoride-Trifluoroethylene Pellets)	Powder Keg (PolyVinylidene Fluoride-Trifluoroethylene Pellets)	Chemical Silo (PolyVinylidene Fluoride-Trifluoroethylene Pellets)	Block (PVDF-TRFE)	Slab (PVDF-TRFE)	Stairs (PVDF-TRFE)	0	0	Fibers (PS)	0	0	0			 									0	'[2]Gripped Tools'!#REF!	0	Tactical Slingshot		Shears	Melon Block
		0	0		0	0	Bag (PolyVinylidene Dichloride Pellets)	Canister (Ethylene)	Bag (Copper II Chloride)	Sack (Copper II Chloride)	Powder Keg (Copper II Chloride)	Chemical Silo (Copper II Chloride)	0	0	0	0	Bag (Dubnium)	Sack (Dubnium)	Powder Keg (Dubnium)	Chemical Silo (Dubnium)	Bag (Styrene-Acrylonitrile Pellets)	Sack (Styrene-Acrylonitrile Pellets)	Powder Keg (Styrene-Acrylonitrile Pellets)	Chemical Silo (Styrene-Acrylonitrile Pellets)	Block (SAN)	Slab (SAN)	Stairs (SAN)	0	0	Fibers (PTBA)	0	0	0			 									0	'[2]Gripped Tools'!#REF!	0	Scatter Slingshot		Melon	Pumpkin Stem
		0	0		0	0	Bag (PolyVinylidene Fluoride Pellets)	Vial (Butylene isomers)	Bag (Copper II Sulfate)	Sack (Copper II Sulfate)	Powder Keg (Copper II Sulfate)	Chemical Silo (Copper II Sulfate)	0	0	0	0	Bag (Seaborgium)	Sack (Seaborgium)	Powder Keg (Seaborgium)	Chemical Silo (Seaborgium)	Bag (Styrene-Butadiene Rubber Pellets)	Sack (Styrene-Butadiene Rubber Pellets)	Powder Keg (Styrene-Butadiene Rubber Pellets)	Chemical Silo (Styrene-Butadiene Rubber Pellets)	Block (SBR)	Slab (SBR)	Stairs (SBR)	0	0	Fibers (PTFE)	0	0	0			 									0	'[2]Gripped Tools'!#REF!	0	Burst Slingshot		Pumpkin Seeds	Melon Stem
		0	0		0	0	Bag (PolyVinylidene Fluoride-Trifluoroethylene Pellets)	Beaker (Butylene isomers)	Vial (Copper Naphthenate)	Beaker (Copper Naphthenate)	Drum (Copper Naphthenate)	Chemical Vat (Copper Naphthenate)	0	0	0	0	Bag (Bohrium)	Sack (Bohrium)	Powder Keg (Bohrium)	Chemical Silo (Bohrium)	Bag (Styrene-Butadiene-Styrene Pellets)	Sack (Styrene-Butadiene-Styrene Pellets)	Powder Keg (Styrene-Butadiene-Styrene Pellets)	Chemical Silo (Styrene-Butadiene-Styrene Pellets)	Block (SBS)	Slab (SBS)	Stairs (SBS)	0	0	Fibers (PTMEG)	0	0	0			 									0	'[2]Gripped Tools'!#REF!	0	Gravity Slingshot		Melon Seeds	Vine
		0	0		0	0	Bag (Styrene-Acrylonitrile Pellets)	Drum (Butylene isomers)	Vial (Copper Sulfate Pentahydrate)	Beaker (Copper Sulfate Pentahydrate)	Drum (Copper Sulfate Pentahydrate)	Chemical Vat (Copper Sulfate Pentahydrate)	0	0	0	0	Bag (Hassium)	Sack (Hassium)	Powder Keg (Hassium)	Chemical Silo (Hassium)	Bag (Styrene-Isoprene-Styrene Pellets)	Sack (Styrene-Isoprene-Styrene Pellets)	Powder Keg (Styrene-Isoprene-Styrene Pellets)	Chemical Silo (Styrene-Isoprene-Styrene Pellets)	Block (SIS)	Slab (SIS)	Stairs (SIS)	0	0	Fibers (PTMG)	0	0	0			 									0	'[2]Gripped Tools'!#REF!	0	Ice Slingshot		Beef	Fence Gate
		0	0		0	0	Bag (Styrene-Butadiene Rubber Pellets)	Flask (Hydrogen Gas)	Vial (Copper Sulfate (Anhydrous))	Beaker (Copper Sulfate (Anhydrous))	Drum (Copper Sulfate (Anhydrous))	Chemical Vat (Copper Sulfate (Anhydrous))	0	0	0	0	Bag (Meitnerium)	Sack (Meitnerium)	Powder Keg (Meitnerium)	Chemical Silo (Meitnerium)	Bag (Styrene-Maleic Anhydride Copolymer Pellets)	Sack (Styrene-Maleic Anhydride Copolymer Pellets)	Powder Keg (Styrene-Maleic Anhydride Copolymer Pellets)	Chemical Silo (Styrene-Maleic Anhydride Copolymer Pellets)	Block (SMAC)	Slab (SMAC)	Stairs (SMAC)	0	0	Fibers (PTA)	0	0	0			 									0	'[2]Gripped Tools'!#REF!	0	Paintball		Cooked Beef	Brick Stairs
		0	0		0	0	Bag (Styrene-Butadiene-Styrene Pellets)	Cartridge (Hydrogen Gas)	Vial (Crude Oil)	Beaker (Crude Oil)	Drum (Crude Oil)	Chemical Vat (Crude Oil)	0	0	0	0	Bag (Darmstadtium)	Sack (Darmstadtium)	Powder Keg (Darmstadtium)	Chemical Silo (Darmstadtium)	Bag (Ultra-High-Molecular-Weight PolyEthylene Pellets)	Sack (Ultra-High-Molecular-Weight PolyEthylene Pellets)	Powder Keg (Ultra-High-Molecular-Weight PolyEthylene Pellets)	Chemical Silo (Ultra-High-Molecular-Weight PolyEthylene Pellets)	Block (UHMWPE)	Slab (UHMWPE)	Stairs (UHMWPE)	0	0	Fibers (PTT)	0	0	0			 									0	'[2]Gripped Tools'!#REF!	0	0		Chicken	Stone Brick Stairs
		0	0		0	0	Bag (Styrene-Isoprene-Styrene Pellets)	Canister (Hydrogen Gas)	Vial (Cyanide)	Beaker (Cyanide)	Drum (Cyanide)	Chemical Vat (Cyanide)	0	0	0	0	Bag (Roentgenium)	Sack (Roentgenium)	Powder Keg (Roentgenium)	Chemical Silo (Roentgenium)	Bag (Urea-Formaldehyde Polymers Pellets)	Sack (Urea-Formaldehyde Polymers Pellets)	Powder Keg (Urea-Formaldehyde Polymers Pellets)	Chemical Silo (Urea-Formaldehyde Polymers Pellets)	Block (UFP)	Slab (UFP)	Stairs (UFP)	0	0	Fibers (PU)	0	0	0			 									0	'[2]Gripped Tools'!#REF!	0	0		Cooked Chicken	Mycelium
		0	0		0	0	Bag (Styrene-Maleic Anhydride Copolymer Pellets)	Flask (Carbon Dioxide)	Vial (Cyanuric Acid)	Beaker (Cyanuric Acid)	Drum (Cyanuric Acid)	Chemical Vat (Cyanuric Acid)	0	0	0	0	Bag (Copernicium)	Sack (Copernicium)	Powder Keg (Copernicium)	Chemical Silo (Copernicium)	Bag (Very-Low-Density PolyEthylene Pellets)	Sack (Very-Low-Density PolyEthylene Pellets)	Powder Keg (Very-Low-Density PolyEthylene Pellets)	Chemical Silo (Very-Low-Density PolyEthylene Pellets)	Block (VLDPE)	Slab (VLDPE)	Stairs (VLDPE)	0	0	Fibers (PVAC)	0	0	0			 									0	'[2]Gripped Tools'!#REF!	0	0		Rotten Flesh	Waterlily
		0	0		0	0	Bag (Ultra-High-Molecular-Weight PolyEthylene Pellets)	Cartridge (Carbon Dioxide)	Vial (Cyclohexane)	Beaker (Cyclohexane)	Drum (Cyclohexane)	Chemical Vat (Cyclohexane)	0	0	0	0	Bag (Ununtrium)	Sack (Ununtrium)	Powder Keg (Ununtrium)	Chemical Silo (Ununtrium)	Bag (Vinyl Acetate-Acrylic Acid Pellets)	Sack (Vinyl Acetate-Acrylic Acid Pellets)	Powder Keg (Vinyl Acetate-Acrylic Acid Pellets)	Chemical Silo (Vinyl Acetate-Acrylic Acid Pellets)	Block (VA/AA)	Slab (VA/AA)	Stairs (VA/AA)	0	0	Fibers (PVA)	0	0	0			 									0	'[2]Gripped Tools'!#REF!	0	0		Ender Pearl	Nether Brick
		0	0		0	0	Bag (Urea-Formaldehyde Polymers Pellets)	Canister (Carbon Dioxide)	Vial (Cyclohexane Dimethanol)	Beaker (Cyclohexane Dimethanol)	Drum (Cyclohexane Dimethanol)	Chemical Vat (Cyclohexane Dimethanol)	0	0	0	0	Bag (Flerovium)	Sack (Flerovium)	Powder Keg (Flerovium)	Chemical Silo (Flerovium)	Bag (Polycaprolactam Pellets)	Sack (Polycaprolactam Pellets)	Powder Keg (Polycaprolactam Pellets)	Chemical Silo (Polycaprolactam Pellets)	Block (Nylon 6)	Slab (Nylon 6)	Stairs (Nylon 6)	0	0	Fibers (PVB)	0	0	0			 									0	'[2]Gripped Tools'!#REF!	0	0		Blaze Rod	Nether Brick Fence
		0	0		0	0	Bag (Very-Low-Density PolyEthylene Pellets)	Vial (p-Xylene)	Vial (Cyclohexanone)	Beaker (Cyclohexanone)	Drum (Cyclohexanone)	Chemical Vat (Cyclohexanone)	0	0	0	0	Bag (Ununpentium)	Sack (Ununpentium)	Powder Keg (Ununpentium)	Chemical Silo (Ununpentium)	Vial (Epoxy-Carbon Fiber Resin)	Beaker (Epoxy-Carbon Fiber Resin)	Drum (Epoxy-Carbon Fiber Resin)	Chemical Vat (Epoxy-Carbon Fiber Resin)	Block (Carbon Fiber Resin (E))	Slab (Carbon Fiber Resin (E))	Stairs (Carbon Fiber Resin (E))	0	0	Fibers (PVC)	0	0	0			 									0	'[2]Gripped Tools'!#REF!	0	0		Ghast Tear	Nether Brick Stairs
		0	0		0	0	Bag (Vinyl Acetate-Acrylic Acid Pellets)	Flask (Oxygen Gas)	Vial (Cyclohexylamine)	Beaker (Cyclohexylamine)	Drum (Cyclohexylamine)	Chemical Vat (Cyclohexylamine)	0	0	0	0	Bag (Livermorium)	Sack (Livermorium)	Powder Keg (Livermorium)	Chemical Silo (Livermorium)	Vial (Phenolic-Carbon Fiber Resin)	Beaker (Phenolic-Carbon Fiber Resin)	Drum (Phenolic-Carbon Fiber Resin)	Chemical Vat (Phenolic-Carbon Fiber Resin)	Block (Carbon Fiber Resin (P))	Slab (Carbon Fiber Resin (P))	Stairs (Carbon Fiber Resin (P))	0	0	Fibers (PVCA)	0	0	0			 									0	0	0	0		Gold Nugget	Nether Wart
		0	0		0	0	Bag (Polycaprolactam Pellets)	Cartridge (Oxygen Gas)	Vial (Dextrose)	Beaker (Dextrose)	Drum (Dextrose)	Chemical Vat (Dextrose)	0	0	0	0	Bag (Ununseptium)	Sack (Ununseptium)	Powder Keg (Ununseptium)	Chemical Silo (Ununseptium)	Vial (Negative Photoresist)	Beaker (Negative Photoresist)	Drum (Negative Photoresist)	Chemical Vat (Negative Photoresist)	Block (n-PR)	Slab (n-PR)	Stairs (n-PR)	0	0	Fibers (PVF)	0	0	0			 									0	0	0	0		Nether Wart	Enchanting Table
		0	0		0	0	Vial (Epoxy-Carbon Fiber Resin)	Canister (Oxygen Gas)	Vial (Diamine)	Beaker (Diamine)	Drum (Diamine)	Chemical Vat (Diamine)	0	0	0	0	Bag (Ununoctium)	Sack (Ununoctium)	Powder Keg (Ununoctium)	Chemical Silo (Ununoctium)	Vial (Positive Photoresist)	Beaker (Positive Photoresist)	Drum (Positive Photoresist)	Chemical Vat (Positive Photoresist)	Block (p-PR)	Slab (p-PR)	Stairs (p-PR)	0	0	Fibers (PVFO)	0	0	0			 									0	0	0	0		Potion	Brewing Stand
		0	0		0	0	Vial (Phenolic-Carbon Fiber Resin)	Flask (Sweet Butane Fuel)	Vial (Dibutoxyethane)	Beaker (Dibutoxyethane)	Drum (Dibutoxyethane)	Chemical Vat (Dibutoxyethane)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	'[2]Stairs (Poly)'!D120	0	0	Fibers (PVME)	0	0	0			 									0	0	0	0		Glass Bottle	Cauldron
		0	0		0	0	Vial (Negative Photoresist)	Cartridge (Sweet Butane Fuel)	Vial (Dicarboxyllic Acid)	Beaker (Dicarboxyllic Acid)	Drum (Dicarboxyllic Acid)	Chemical Vat (Dicarboxyllic Acid)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	'[2]Stairs (Poly)'!D121	0	0	Fibers (PVDC)	0	0	0			 									0	0	0	0		Spider Eye	End Portal
		0	0		0	0	Vial (Positive Photoresist)	Canister (Sweet Butane Fuel)	Vial (Dichloromethane)	Beaker (Dichloromethane)	Drum (Dichloromethane)	Chemical Vat (Dichloromethane)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	'[2]Stairs (Poly)'!D122	0	0	Fibers (PVDF)	0	0	0			 									0	0	0	0		Fermented Spider Eye	End Portal Frame
		0	0		0	0	0	Flask (Sweet Propane Fuel)	Vial (Diesel)	Beaker (Diesel)	Drum (Diesel)	Chemical Vat (Diesel)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	'[2]Stairs (Poly)'!D123	0	0	Fibers (PVDF-TRFE)	0	0	0			 									0	0	0	0		Blaze Powder	End Stone
		0	0		0	0	0	Cartridge (Sweet Propane Fuel)	Vial (Diethoxyethane)	Beaker (Diethoxyethane)	Drum (Diethoxyethane)	Chemical Vat (Diethoxyethane)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Fibers (SAN)	0	0	0			 									0	0	0	0		Magma Cream	Dragon Egg
		0	0		0	0	0	Canister (Sweet Propane Fuel)	Vial (Diethylene Glycol)	Beaker (Diethylene Glycol)	Drum (Diethylene Glycol)	Chemical Vat (Diethylene Glycol)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Fibers (SBR)	0	0	0			 									0	0	0	0		Brewing Stand	Redstone Lamp
		0	0		0	0	0	Vial (Sweet Light Naphtha)	Vial (Dimethoxyethane)	Beaker (Dimethoxyethane)	Drum (Dimethoxyethane)	Chemical Vat (Dimethoxyethane)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Fibers (SBS)	0	0	0			 									0	0	0	0		Cauldron	Lit Redstone Lamp
